Fri May 19 15:56:37 2017    restats

         402589552 function calls (402579532 primitive calls) in 150.130 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.010    0.000    0.048    0.000 scheduler.py:133(_all_lt)
    10000    0.009    0.000    0.009    0.000 {built-in method _functools.reduce}
    40000    0.009    0.000    0.009    0.000 scheduler.py:979(set_max_utilization)
    10000    0.009    0.000    0.009    0.000 scheduler.py:993(add)
    10000    0.009    0.000    0.009    0.000 scheduler.py:1379(<listcomp>)
    10000    0.008    0.000    0.008    0.000 scheduler.py:1220(_fix_invalid_identities)
    75005    0.008    0.000    0.008    0.000 {method 'strip' of 'str' objects}
    10000    0.008    0.000    0.008    0.000 scheduler.py:656(get_affinity_strategy)
    13327    0.008    0.000    0.008    0.000 {method 'getrandbits' of '_random.Random' objects}
    50002    0.008    0.000    0.008    0.000 {method 'values' of 'dict' objects}
    25001    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    39996    0.007    0.000    0.007    0.000 {built-in method _operator.lt}
    10000    0.007    0.000    0.007    0.000 scheduler.py:1370(<listcomp>)
    20000    0.006    0.000    0.006    0.000 scheduler.py:305(traits)
     5000    0.006    0.000    1.304    0.000 scheduler.py:695(add_node)
    15000    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
    10000    0.006    0.000    0.006    0.000 scheduler.py:274(acquire_identity)
    10000    0.005    0.000    0.005    0.000 {method 'extend' of 'list' objects}
    20000    0.005    0.000    0.005    0.000 scheduler.py:986(set_traits)
     5000    0.004    0.000    1.231    0.000 scheduler.py:507(add_child_traits)
        1    0.004    0.004    0.011    0.011 machar.py:116(_do_init)
    10000    0.004    0.000    0.012    0.000 {built-in method builtins.all}
    10000    0.004    0.000    0.004    0.000 scheduler.py:1212(_fix_invalid_placements)
    10000    0.004    0.000    0.004    0.000 scheduler.py:822(check_app_lifetime)
    10000    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     5000    0.003    0.000    1.227    0.000 scheduler.py:416(add)
     5000    0.003    0.000    0.006    0.000 scheduler.py:514(adjust_valid_until)
     5000    0.003    0.000    0.003    0.000 {built-in method builtins.max}
    10000    0.003    0.000    0.003    0.000 <string>:1(<lambda>)
    10000    0.003    0.000    0.003    0.000 {built-in method _heapq.heapify}
    10000    0.003    0.000    0.003    0.000 scheduler.py:1063(<listcomp>)
     5000    0.003    0.000    0.003    0.000 scheduler.py:556(add_labels)
    10000    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
     1732    0.002    0.000    0.007    0.000 fromnumeric.py:1866(any)
     5001    0.001    0.000    0.001    0.000 __init__.py:532(__missing__)
     1732    0.001    0.000    0.001    0.000 numeric.py:534(asanyarray)
     5000    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
